id	coleta	sexo	posicao	trilha	idteia	situacaoteia	agreg	cefalotorax	nacomp	acomp	nacomp2	data
f110	2	f	na	1	110	s	50	0,347	1	n	0	08/abr
f111	2	f	na	1	111	s	51	0,491	2	s	1	08/abr
f112	2	f	na	1	112	s	52	0,544	1	n	0	08/abr
f113	2	f	na	4	113	s	53	0,465	2	s	1	08/abr
f114	2	f	na	4	114	s	54	0,525	2	s	1	08/abr
f115	2	f	na	4	115	s	55	0,559	2	s	1	08/abr
f116	2	f	na	4	116	s	56	0,589	3	s	2	08/abr
f117	2	f	na	1	117	s	57	0,517	1	n	0	09/abr
f118	2	f	na	4	118	s	58	0,521	1	n	0	09/abr
f119	2	f	na	2	119	s	59	0,487	2	s	1	09/abr
f120	2	f	na	2	120	s	60	0,427	2	s	1	09/abr
f121	2	f	na	7	121	s	61	0,46	2	s	1	09/abr
f122	2	f	na	7	122	s	62	0,535	3	s	2	09/abr
f123	2	f	na	6	123	s	63	0,554	2	s	1	09/abr
f124	2	f	na	3	124	s	64	0,48	2	s	1	09/abr
f125	2	f	na	3	125	s	65	0,493	3	s	2	09/abr
f126	2	f	na	3	126	s	66	0,478	2	s	1	09/abr
f217	2	f	na	3	127	s	67	0,479	2	s	1	09/abr
f129	2	f	na	3	129	s	68	0,513	2	s	1	09/abr
f130	2	f	na	3	130	s	69	0,493	1	n	0	09/abr
f131	2	f	na	3	131	s	70	0,508	2	s	1	09/abr
f132	2	f	na	3	132	s	71	0,471	2	s	1	09/abr
f133	2	f	na	1	133	s	72	0,473	2	s	1	09/abr
f134	2	f	na	5	134	a	12	0,533	2	s	1	28/abr
f135	2	f	na	5	135	a	12	0,505	2	s	1	28/abr
f136	2	f	na	5	136	a	12	0,473	1	n	0	28/abr
